UNIT 1,UNIT 1 BIG WORDS,UNIT 2,UNIT 2 BIG WORDS,,UNIT 3,UNIT 3 BIG WORDS 
bird,positive,touch,scientific,,Japan,
book,predator,swung,retirement,,guess,
born,pretence,story,protection,,Greek,
bowl,probably,sharp,playground,,grain,
bury,question,shake,punctuated,,gourd,
cage,relative,shady,constantly,,glory,
call,removing,manna,chronology,,glass,
came,seahorse,juicy,frightening,,fight,
case,sentence,heavy,spectacular,,fever,
caws,shutting,flora,immediately,,epics,
clay,smallest,flood,grandfather,,entry,
clos,softened,earth,grandmother,,Egypt,
clue,software,cries,exclamation,,drawn,
coat,squished,creep,interfering,,drain,
code,suitable,crazy,butterflies,,Divya,
come,survival,comic,instruction,,curry,
crab,swimming,cheat,punctuation,,cumin,
cult,tackling,chase,grandparent,,crown,
dash,thousand,built,explanation,,clove,
dead,threaten,build,relationship,,clear,
deep,tortoise,bring,conversation,,clean,
dial,welcomes,Adyar,appreciating,,china,
didi,wherever,quick,,,check,
does,Whitaker,pluck,,,broke,
doll,wildlife,Padma,,,break,
done,yourself,light,,,black,
door,abandoned,image,,,betel,
doth,afternoon,guava,,,avoid,
down,albatross,Ghats,,,aside,
dump,Aurobindo,fauna,,,apart,
each,beautiful,chart,,,anger,
east,beginning,brick,,,winner,
edge,character,brass,,,voyage,
even,childhood,alarm,,,travel,
ever,countable,wheel,,,trader,
face,crocodile,voice,,,tomato,
fact,crossword,three,,,taxing,
fall,determine,storm,,,stubby,
farm,different,smell,,,simmer,
fast,difficult,shade,,,settle,
feed,favourite,prose,,,sesame,
feet,filmmaker,novel,,,sambar,
fell,hawksbill,fewer,,,sailor,
fill,household,close,,,repeat,
film,incorrect,board,,,recite,
find,initially,bloom,,,recipe,
fish,memorable,apple,,,rattle,
five,mincemeat,adapt,,,prompt,
flew,motorboat,total,,,prized,
food,mysteries,taste,,,powder,
four,paragraph,sweet,,,plight,
frog,pollution,strip,,,pledge,
from,predicate,stand,,,pickle,
game,procedure,power,,,pepper,
girl,rearrange,plant,,,nutmeg,
give,reference,Delhi,,,nausea,
gone,responses,chirp,,,mostly,
good,scientist,youth,,,modern,
gram,simulator,north,,,mirchi,
grey,something,Muthu,,,middle,
grin,sometimes,enter,,,medium,
grow,somewhere,comes,,,master,
hair,statement,catch,,,market,
half,submarine,plead,,,manure,
hand,travelled,event,,,liquid,
haul,underline,essay,,,Lankan,
have,varieties,spell,,,ladies,
hawk,volunteer,fruit,,,labour,
help,Wikipedia,myself,,,Kerala,
here,wonderful,peepal,,,joking,
hide,activities,method,,,inform,
high,biological,happen,,,handle,
hole,camouflage,Ganesh,,,Greece,
home,connection,father,,,ginger,
hope,dictionary,farmer,,,garlic,
horn,difference,banana,,,Friday,
hour,discussion,Ayesha,,,French,
howl,effortless,window,,,fennel,
huge,experience,wander,,,export,
hunt,expression,timber,,,Europe,
hurt,gahirmatha,spoken,,,energy,
idle,gracefully,single,,,empire,
inns,incredible,simply,,,easily,
into,individual,signal,,,create,
just,loggerhead,select,,,chilly,
keep,mournfully,Ruskin,,,chilli,
kept,surprising,nearby,,,chance,
kill,themselves,minute,,,centre,
kind,understand,mellow,,,breath,
kite,unexpected,lonely,,,bought,
knew,vegetarian,hurrah,,,bitter,
know,vocabulary,harder,,,belong,
laid,wonderland,growth,,,Arabia,
land,application,dating,,,anyone,
last,appropriate,author,,,amount,
left,bookshelves,strong,,,Africa,
less,fascinating,snacks,,,,
life,information,quiver,,,,
like,knickknacks,poetry,,,,
limb,laboriously,lilacs,,,,
line,leatherback,jungle,,,,
link,parasailing,hadn't,,,,
lion,temperature,govern,,,,
list,uncountable,easier,,,,
live,accidentally,choice,,,,
load,conservation,caught,,,,
long,construction,breeze,,,,
look,similarities,branch,,,,
lost,automatically,aerial,,,,
love,supplementary,winter,,,,
mail,systematically,suffix,,,,
main,,sudden,,,,
make,,squeak,,,,
male,,sprung,,,,
many,,sprout,,,,
mean,,sprang,,,,
meat,,silent,,,,
mild,,served,,,,
more,,orange,,,,
most,,nearer,,,,
move,,Nandhu,,,,
much,,letter,,,,
must,,leaves,,,,
nail,,island,,,,
name,,having,,,,
neat,,George,,,,
need,,gentle,,,,
nest,,gather,,,,
news,,forgot,,,,
Nile,,beyond,,,,
nook,,banyan,,,,
nose,,verses,,,,
noun,,valley,,,,
okay,,summer,,,,
once,,recall,,,,
only,,oppose,,,,
onto,,Morris,,,,
open,,carbon,,,,
over,,beside,,,,
page,,taught,,,,
pair,,rather,,,,
pale,,please,,,,
park,,leaved,,,,
part,,became,,,,
paws,,uproar,,,,
peck,,oxygen,,,,
peep,,forest,,,,
pick,,change,,,,
play,,annual,,,,
poem,,across,,,,
poet,,unlike,,,,
poor,,season,,,,
pour,,desert,,,,
pray,,circle,,,,
prey,,Pushpa,,,,
pull,,invite,,,,
push,,button,,,,
rang,,,,,,
rare,,,,,,
read,,,,,,
rest,,,,,,
road,,,,,,
room,,,,,,
rule,,,,,,
safe,,,,,,
said,,,,,,
same,,,,,,
sand,,,,,,
scan,,,,,,
seal,,,,,,
seem,,,,,,
seen,,,,,,
self,,,,,,
sent,,,,,,
ship,,,,,,
shop,,,,,,
shot,,,,,,
show,,,,,,
shut,,,,,,
sigh,,,,,,
sign,,,,,,
size,,,,,,
snap,,,,,,
soft,,,,,,
some,,,,,,
soon,,,,,,
spot,,,,,,
star,,,,,,
stay,,,,,,
step,,,,,,
such,,,,,,
sure,,,,,,
surf,,,,,,
swim,,,,,,
tail,,,,,,
take,,,,,,
talk,,,,,,
tall,,,,,,
tear,,,,,,
tell,,,,,,
test,,,,,,
text,,,,,,
than,,,,,,
that,,,,,,
them,,,,,,
then,,,,,,
they,,,,,,
thin,,,,,,
this,,,,,,
tide,,,,,,
till,,,,,,
time,,,,,,
tiny,,,,,,
took,,,,,,
turn,,,,,,
type,,,,,,
unit,,,,,,
verb,,,,,,
very,,,,,,
walk,,,,,,
want,,,,,,
wave,,,,,,
weed,,,,,,
well,,,,,,
went,,,,,,
were,,,,,,
what,,,,,,
when,,,,,,
wiki,,,,,,
wild,,,,,,
will,,,,,,
wink,,,,,,
with,,,,,,
word,,,,,,
work,,,,,,
year,,,,,,
your,,,,,,
about,,,,,,
above,,,,,,
adult,,,,,,
after,,,,,,
again,,,,,,
alike,,,,,,
along,,,,,,
aloud,,,,,,
among,,,,,,
award,,,,,,
beach,,,,,,
began,,,,,,
being,,,,,,
below,,,,,,
birth,,,,,,
blade,,,,,,
blank,,,,,,
brave,,,,,,
broad,,,,,,
brown,,,,,,
carry,,,,,,
cheek,,,,,,
cheer,,,,,,
class,,,,,,
claws,,,,,,
click,,,,,,
climb,,,,,,
coast,,,,,,
conch,,,,,,
coral,,,,,,
could,,,,,,
cover,,,,,,
cried,,,,,,
curio,,,,,,
eagle,,,,,,
eaten,,,,,,
empty,,,,,,
enjoy,,,,,,
equal,,,,,,
every,,,,,,
exist,,,,,,
fence,,,,,,
ferry,,,,,,
fifty,,,,,,
first,,,,,,
flash,,,,,,
floor,,,,,,
found,,,,,,
frame,,,,,,
front,,,,,,
fully,,,,,,
Ghose,,,,,,
grass,,,,,,
grave,,,,,,
great,,,,,,
green,,,,,,
group,,,,,,
habit,,,,,,
happy,,,,,,
hatch,,,,,,
heart,,,,,,
hello,,,,,,
house,,,,,,
https,,,,,,
human,,,,,,
India,,,,,,
Kundu,,,,,,
large,,,,,,
later,,,,,,
learn,,,,,,
leave,,,,,,
Lewis,,,,,,
local,,,,,,
march,,,,,,
match,,,,,,
meant,,,,,,
month,,,,,,
mouth,,,,,,
never,,,,,,
night,,,,,,
ocean,,,,,,
offer,,,,,,
olive,,,,,,
order,,,,,,
other,,,,,,
owlet,,,,,,
panic,,,,,,
Payal,,,,,,
pearl,,,,,,
perch,,,,,,
piece,,,,,,
place,,,,,,
plate,,,,,,
point,,,,,,
press,,,,,,
quiet,,,,,,
quite,,,,,,
razor,,,,,,
reach,,,,,,
refer,,,,,,
relax,,,,,,
rhyme,,,,,,
right,,,,,,
rough,,,,,,
sandy,,,,,,
scale,,,,,,
scent,,,,,,
scold,,,,,,
scoop,,,,,,
scuba,,,,,,
seven,,,,,,
shall,,,,,,
shape,,,,,,
share,,,,,,
shelf,,,,,,
shell,,,,,,
shift,,,,,,
shine,,,,,,
shore,,,,,,
short,,,,,,
since,,,,,,
slash,,,,,,
sleep,,,,,,
slept,,,,,,
small,,,,,,
snake,,,,,,
snout,,,,,,
sound,,,,,,
space,,,,,,
spend,,,,,,
spent,,,,,,
start,,,,,,
still,,,,,,
store,,,,,,
swore,,,,,,
table,,,,,,
their,,,,,,
there,,,,,,
these,,,,,,
thing,,,,,,
think,,,,,,
those,,,,,,
threw,,,,,,
tiger,,,,,,
title,,,,,,
today,,,,,,
tooth,,,,,,
under,,,,,,
until,,,,,,
usage,,,,,,
using,,,,,,
views,,,,,,
visit,,,,,,
watch,,,,,,
water,,,,,,
weigh,,,,,,
where,,,,,,
which,,,,,,
while,,,,,,
white,,,,,,
whole,,,,,,
world,,,,,,
would,,,,,,
write,,,,,,
wrong,,,,,,
yacht,,,,,,
active,,,,,,
advent,,,,,,
aghast,,,,,,
almost,,,,,,
always,,,,,,
animal,,,,,,
answer,,,,,,
appear,,,,,,
around,,,,,,
ashore,,,,,,
asleep,,,,,,
aspect,,,,,,
basket,,,,,,
bawled,,,,,,
become,,,,,,
before,,,,,,
behave,,,,,,
behind,,,,,,
better,,,,,,
bigger,,,,,,
bitten,,,,,,
bright,,,,,,
cannot,,,,,,
carton,,,,,,
cavity,,,,,,
choose,,,,,,
colour,,,,,,
common,,,,,,
convey,,,,,,
corner,,,,,,
couple,,,,,,
course,,,,,,
cranny,,,,,,
danger,,,,,,
decade,,,,,,
decide,,,,,,
defend,,,,,,
didn't,,,,,,
diving,,,,,,
during,,,,,,
effort,,,,,,
embryo,,,,,,
emerge,,,,,,
enable,,,,,,
enough,,,,,,
ensure,,,,,,
entire,,,,,,
escape,,,,,,
factor,,,,,,
family,,,,,,
famous,,,,,,
female,,,,,,
finger,,,,,,
finish,,,,,,
flower,,,,,,
follow,,,,,,
forced,,,,,,
friend,,,,,,
fright,,,,,,
garden,,,,,,
gazing,,,,,,
gently,,,,,,
golden,,,,,,
halves,,,,,,
hollow,,,,,,
hungry,,,,,,
Indian,,,,,,
insect,,,,,,
inside,,,,,,
itself,,,,,,
jackal,,,,,,
jumble,,,,,,
knight,,,,,,
learnt,,,,,,
length,,,,,,
listen,,,,,,
little,,,,,,
living,,,,,,
Madras,,,,,,
making,,,,,,
manage,,,,,,
marine,,,,,,
minced,,,,,,
monkey,,,,,,
mother,,,,,,
moving,,,,,,
native,,,,,,
nature,,,,,,
notice,,,,,,
number,,,,,,
object,,,,,,
Odisha,,,,,,
option,,,,,,
people,,,,,,
period,,,,,,
person,,,,,,
phrase,,,,,,
planet,,,,,,
plural,,,,,,
police,,,,,,
popped,,,,,,
pretty,,,,,,
puzzle,,,,,,
reason,,,,,,
reduce,,,,,,
report,,,,,,
return,,,,,,
ribbon,,,,,,
Ridley,,,,,,
school,,,,,,
screen,,,,,,
search,,,,,,
second,,,,,,
secret,,,,,,
secure,,,,,,
seldom,,,,,,
Shekar,,,,,,
should,,,,,,
shoved,,,,,,
spread,,,,,,
strict,,,,,,
tennis,,,,,,
though,,,,,,
threat,,,,,,
throat,,,,,,
tracks,,,,,,
turtle,,,,,,
twenty,,,,,,
useful,,,,,,
Vijaya,,,,,,
walrus,,,,,,
warden,,,,,,
warmth,,,,,,
wasn't,,,,,,
wiping,,,,,,
within,,,,,,
wonder,,,,,,
wooden,,,,,,
yelled,,,,,,
yellow,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
